,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,30101.0,2940539.0,94.0,55.0,192.0,532.5134009416878,Landscan
Adamawa,39846,0.0,24562.0,3197504.0,32.0,17.0,56.0,80.24654921447573,Landscan
Akwa Ibom,7766,0.0,28837.0,4042862.0,104.0,47.0,221.0,520.5848570692764,Landscan
Anambra,5538,0.0,52351.0,4337511.0,152.0,72.0,441.75,783.226977248104,Landscan
Bauchi,58374,0.0,16680.0,4878343.0,37.0,26.0,57.0,83.57047658203994,Landscan
Bayelsa,11535,0.0,46660.0,1724237.0,12.0,1.0,52.0,149.47871694841785,Landscan
Benue,37109,0.0,23380.0,4413225.0,49.0,36.0,92.0,118.92600177854429,Landscan
Borno,84903,0.0,40081.0,4235873.0,21.0,12.0,42.0,49.89073413189169,Landscan
Cross River,24685,0.0,32658.0,2958253.0,28.0,1.0,63.0,119.84010532712173,Landscan
Delta,19064,0.0,43614.0,4220812.0,33.0,8.0,94.0,221.40222408728494,Landscan
Ebonyi,7291,0.0,18134.0,2285046.0,112.0,54.0,202.0,313.4063914415032,Landscan
Edo,23288,0.0,47470.0,3377236.0,30.0,9.0,63.0,145.02043971143937,Landscan
Ekiti,6155,0.0,41111.0,2467921.0,107.0,58.0,270.0,400.96198212835094,Landscan
Enugu,9061,0.0,39505.0,3401391.0,100.0,49.0,202.0,375.3880366405474,Landscan
Federal Capital Territory,8667,0.0,23812.0,1434264.0,32.0,23.0,55.0,165.48563516787817,Landscan
Gombe,21618,0.0,42520.0,2445162.0,47.0,33.0,78.0,113.10768803774633,Landscan
Imo,6219,0.0,34036.0,4133249.0,124.0,46.0,289.0,664.6163370316771,Landscan
Jigawa,28730,0.0,50095.0,4546055.0,59.0,41.0,105.0,158.2337278106509,Landscan
Kaduna,52920,0.0,35253.0,6343311.0,37.0,23.0,58.0,119.86604308390022,Landscan
Kano,23980,0.0,89012.0,9799328.0,125.0,70.0,232.0,408.645871559633,Landscan
Katsina,28642,0.0,31487.0,6050879.0,81.0,48.0,139.75,211.2589553802109,Landscan
Kebbi,43383,0.0,21594.0,3402122.0,35.0,20.0,55.0,78.42062559066916,Landscan
Kogi,34284,0.0,42770.0,3403166.0,34.0,17.0,62.0,99.26397153190993,Landscan
Kwara,42270,0.0,46640.0,2483280.0,11.0,8.0,26.0,58.74804826117814,Landscan
Lagos,4055,0.0,73748.0,9173867.0,98.0,16.0,528.0,2262.3593094944513,Landscan
Nassarawa,30915,0.0,24780.0,1982926.0,31.0,19.0,51.0,64.14122594209931,Landscan
Niger,83705,0.0,25257.0,4113204.0,19.0,10.0,33.0,49.13928678095693,Landscan
Ogun,19105,0.0,40596.0,3964151.0,39.0,15.0,109.0,207.49285527348863,Landscan
Ondo,17102,0.0,68178.0,3470268.0,53.0,18.0,138.0,202.91591626710326,Landscan
Osun,10884,0.0,72083.0,3708943.0,54.0,18.0,154.0,340.7702131569276,Landscan
Oyo,32478,0.0,51252.0,5831153.0,37.0,23.0,67.0,179.54162817907508,Landscan
Plateau,32675,0.0,32280.0,3322264.0,41.0,19.0,68.5,101.67602142310635,Landscan
Rivers,9858,0.0,72363.0,5071085.0,59.0,17.0,199.0,514.4131669709881,Landscan
Sokoto,37659,0.0,36967.0,3850849.0,41.0,27.0,67.0,102.25574231923312,Landscan
Taraba,71387,0.0,25429.0,2435005.0,17.0,9.0,32.0,34.10992197458921,Landscan
Yobe,54999,0.0,14690.0,2450484.0,21.0,12.0,35.0,44.55506463753886,Landscan
Zamfara,41101,0.0,17186.0,3398204.0,40.0,26.0,58.0,82.67935086737549,Landscan
