,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,71539.0,2713595.0,90.5,52.0,175.0,491.415248098515,Landscan
Adamawa,39846,0.0,22677.0,2952438.0,30.0,15.0,52.0,74.0962204487276,Landscan
Akwa Ibom,7766,0.0,26584.0,3733635.0,96.0,44.0,204.0,480.76680401751224,Landscan
Anambra,5538,0.0,48329.0,4004662.0,140.0,67.0,407.75,723.1242325749369,Landscan
Bauchi,58374,0.0,15399.0,4503932.0,34.0,24.0,52.0,77.15647377256998,Landscan
Bayelsa,11535,0.0,42988.0,1592157.0,11.0,3.0,48.0,138.02834850455136,Landscan
Benue,37109,0.0,21587.0,4074612.0,46.0,34.0,85.0,109.80118030666415,Landscan
Borno,84903,0.0,37005.0,3911117.0,20.0,11.0,38.0,46.06571028114436,Landscan
Cross River,24685,0.0,30151.0,2731599.0,25.0,3.0,58.0,110.65825400040511,Landscan
Delta,19064,0.0,40234.0,3897038.0,31.0,8.0,87.0,204.41869492236677,Landscan
Ebonyi,7291,0.0,16744.0,2109672.0,104.0,50.0,187.0,289.3529008366479,Landscan
Edo,23288,0.0,43820.0,3118093.0,28.0,8.0,58.0,133.89269151494332,Landscan
Ekiti,6155,0.0,74561.0,2278535.0,99.0,54.0,250.0,370.19252640129974,Landscan
Enugu,9061,0.0,36473.0,3140367.0,92.0,45.0,187.0,346.58062024059154,Landscan
Federal Capital Territory,8667,0.0,21984.0,1324197.0,30.0,21.0,51.0,152.78608515057113,Landscan
Gombe,21618,0.0,39259.0,2257504.0,44.0,30.0,72.0,104.42705153113147,Landscan
Imo,6218,0.0,31424.0,3816056.0,114.0,42.0,267.0,613.7111611450628,Landscan
Jigawa,28730,0.0,46251.0,4197371.0,55.0,37.0,97.0,146.09714584058474,Landscan
Kaduna,52920,0.0,32546.0,5856497.0,34.0,21.0,54.0,110.66698790627362,Landscan
Kano,23980,0.0,69158.0,9047287.0,116.0,65.0,215.0,377.28469557964974,Landscan
Katsina,28642,0.0,29071.0,5587222.0,75.0,44.0,129.0,195.07094476642692,Landscan
Kebbi,43383,0.0,19931.0,3141795.0,32.0,19.0,51.0,72.41995712606321,Landscan
Kogi,34284,0.0,39488.0,3142035.0,31.0,16.0,57.0,91.64726986349318,Landscan
Kwara,42270,0.0,43307.0,2293040.0,10.0,7.0,24.0,54.24745682517152,Landscan
Lagos,4055,0.0,71677.0,8469444.0,90.0,15.0,488.0,2088.642170160296,Landscan
Nassarawa,30915,0.0,22878.0,1830752.0,29.0,17.0,47.0,59.21889050622675,Landscan
Niger,83705,0.0,23318.0,3797620.0,18.0,9.0,31.0,45.369093841467055,Landscan
Ogun,19105,0.0,75090.0,3659607.0,36.0,14.0,102.0,191.55231614760535,Landscan
Ondo,17102,0.0,62946.0,3203925.0,49.0,17.0,127.0,187.34212372821892,Landscan
Osun,10884,0.0,66538.0,3424285.0,50.0,16.0,142.25,314.61640940830574,Landscan
Oyo,32478,0.0,47316.0,5384499.0,34.0,21.0,62.0,165.7891187881027,Landscan
Plateau,32675,0.0,29805.0,3067315.0,38.0,18.0,63.0,93.8734506503443,Landscan
Rivers,9858,0.0,78510.0,4683251.0,54.0,16.0,183.0,475.0711097585717,Landscan
Sokoto,37659,0.0,34128.0,3555621.0,38.0,25.0,62.0,94.41623516290926,Landscan
Taraba,71387,0.0,23476.0,2250698.0,16.0,8.0,29.0,31.528121366635382,Landscan
Yobe,54999,0.0,13621.0,2263427.0,20.0,11.0,32.0,41.153966435753375,Landscan
Zamfara,41101,0.0,15865.0,3137263.0,37.0,24.0,53.0,76.33057589839663,Landscan
