,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,31330.0,3002673.0,98.0,57.0,201.25,543.7654835204636,Landscan
Adamawa,39846,0.0,23996.0,3263107.0,33.0,17.0,59.0,81.8929629071927,Landscan
Akwa Ibom,7766,0.0,29425.0,4121475.0,109.0,50.0,233.75,530.7075714653619,Landscan
Anambra,5538,0.0,53418.0,4424112.0,165.0,77.0,481.75,798.8645720476707,Landscan
Bauchi,58374,0.0,17317.0,4977300.0,38.0,27.0,59.0,85.26570048309179,Landscan
Bayelsa,11535,0.0,47609.0,1750902.0,13.0,1.0,60.0,151.79037711313393,Landscan
Benue,37109,0.0,24817.0,4502981.0,52.0,38.0,95.0,121.34471422027002,Landscan
Borno,84903,0.0,38245.0,4300450.0,21.0,12.0,43.0,50.65133151949872,Landscan
Cross River,24685,0.0,33321.0,3024061.0,28.0,1.0,67.0,122.50601579906827,Landscan
Delta,19064,0.0,44501.0,4306897.0,35.0,8.0,97.0,225.91780318925723,Landscan
Ebonyi,7291,0.0,21991.0,2323127.0,118.0,60.0,218.0,318.6294061171307,Landscan
Edo,23288,0.0,48436.0,3436898.0,31.0,9.0,66.0,147.58236001374098,Landscan
Ekiti,6155,0.0,41946.0,2518081.0,109.0,60.0,276.0,409.1114541023558,Landscan
Enugu,9061,0.0,43189.0,3468303.0,104.0,52.0,209.0,382.7726520251628,Landscan
Federal Capital Territory,8667,0.0,24296.0,1463427.0,33.0,23.0,56.0,168.85046728971963,Landscan
Gombe,21618,0.0,43385.0,2494960.0,48.0,34.0,80.0,115.41123138125636,Landscan
Imo,6219,0.0,34728.0,4218670.0,131.0,49.0,309.0,678.3518250522592,Landscan
Jigawa,28730,0.0,50420.0,4639179.0,61.0,41.0,110.0,161.4750783153498,Landscan
Kaduna,52920,0.0,36376.0,6472695.0,39.0,23.0,60.0,122.3109410430839,Landscan
Kano,23980,0.0,78908.0,9998281.0,133.0,75.0,245.0,416.9424937447873,Landscan
Katsina,28642,0.0,33720.0,6175358.0,83.0,51.0,147.0,215.60498568535718,Landscan
Kebbi,43383,0.0,23149.0,3473172.0,35.0,21.0,57.0,80.05836387525068,Landscan
Kogi,34284,0.0,43638.0,3481455.0,35.0,18.0,63.0,101.54751487574379,Landscan
Kwara,42270,0.0,46881.0,2533709.0,11.0,8.0,27.0,59.94106931629997,Landscan
Lagos,4055,0.0,75343.0,9366141.0,94.0,17.0,508.0,2309.775832305795,Landscan
Nassarawa,30915,0.0,25283.0,2023222.0,32.0,19.0,52.0,65.4446708717451,Landscan
Niger,83705,0.0,27377.0,4196838.0,20.0,10.0,34.0,50.13843856400454,Landscan
Ogun,19105,0.0,41589.0,4037976.0,40.0,15.0,111.0,211.35702695629416,Landscan
Ondo,17102,0.0,69564.0,3540887.0,54.0,19.0,146.0,207.04519939188398,Landscan
Osun,10884,0.0,73548.0,3784343.0,55.0,18.0,158.0,347.6978133039324,Landscan
Oyo,32478,0.0,52293.0,5949749.0,38.0,23.0,68.0,183.19320770983435,Landscan
Plateau,32675,0.0,35676.0,3389895.0,42.0,20.0,70.0,103.74583014537107,Landscan
Rivers,9858,0.0,73832.0,5202018.0,62.0,18.0,211.0,527.6950699939135,Landscan
Sokoto,37659,0.0,37716.0,3929896.0,42.0,28.0,70.0,104.35476247377785,Landscan
Taraba,71387,0.0,25944.0,2484856.0,17.0,9.0,32.0,34.8082423970751,Landscan
Yobe,54999,0.0,14987.0,2502499.0,22.0,12.0,35.0,45.5008091056201,Landscan
Zamfara,41101,0.0,17655.0,3467336.0,40.0,27.0,59.0,84.36135373835187,Landscan
