,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,34793.0,3485167.0,82.0,2.0,629.75,631.1421586381746,Landscan
Adamawa,39846,0.0,18772.0,3563928.0,1.0,1.0,32.0,89.44255383225418,Landscan
Akwa Ibom,7767,0.0,34969.0,4885151.0,185.0,3.0,578.0,628.9624050469937,Landscan
Anambra,5538,0.0,39322.0,5057103.0,79.0,3.0,964.75,913.1641386782231,Landscan
Bauchi,58374,0.0,27899.0,6318869.0,16.0,2.0,78.0,108.24800424846678,Landscan
Bayelsa,11546,0.0,53756.0,1931343.0,3.0,1.0,5.0,167.273774467348,Landscan
Benue,37109,0.0,20243.0,5339174.0,47.0,2.0,126.0,143.8781427686006,Landscan
Borno,84903,0.0,27234.0,5637128.0,1.0,0.0,2.0,66.39492126308846,Landscan
Cross River,24686,0.0,38007.0,3632791.0,3.0,0.0,5.0,147.1599692133193,Landscan
Delta,19077,0.0,30719.0,5059310.0,2.0,0.0,13.0,265.20469675525504,Landscan
Ebonyi,7291,0.0,15853.0,2607255.0,148.0,48.0,351.0,357.59909477437935,Landscan
Edo,23288,0.0,15068.0,4052929.0,1.0,0.0,3.0,174.0350824458949,Landscan
Ekiti,6155,0.0,57090.0,2818747.0,3.0,2.0,84.0,457.9605199025183,Landscan
Enugu,9061,0.0,52385.0,4088302.0,50.0,2.0,386.0,451.19766030239487,Landscan
Federal Capital Territory,8667,0.0,33377.0,3222954.0,3.0,1.0,74.0,371.865005192108,Landscan
Gombe,21618,0.0,27446.0,3103662.0,2.0,1.0,61.0,143.5684152095476,Landscan
Imo,6219,0.0,17769.0,4955488.0,259.0,2.0,1163.0,796.8303585785496,Landscan
Jigawa,28730,0.0,36026.0,5342896.0,32.0,2.0,121.0,185.96923076923076,Landscan
Kaduna,52920,0.0,28177.0,7448907.0,3.0,0.0,62.0,140.7578798185941,Landscan
Kano,23980,0.0,44050.0,11659144.0,107.0,3.0,309.0,486.2028356964137,Landscan
Katsina,28642,0.0,41032.0,7187776.0,69.0,0.0,177.0,250.95230779973465,Landscan
Kebbi,43383,0.0,27220.0,4513377.0,2.0,1.0,15.0,104.03561302814467,Landscan
Kogi,34284,0.0,66517.0,4120007.0,2.0,1.0,4.0,120.1728794773072,Landscan
Kwara,42270,0.0,30925.0,3065616.0,1.0,0.0,13.0,72.52462739531583,Landscan
Lagos,4068,0.0,91382.0,17893738.0,88.5,1.0,2929.25,4398.65732546706,Landscan
Nassarawa,30915,0.0,16096.0,2587935.0,2.0,1.0,27.0,83.71130519165453,Landscan
Niger,83705,0.0,24344.0,4908639.0,1.0,0.0,22.0,58.642124126396276,Landscan
Ogun,19105,0.0,23211.0,4519923.0,2.0,0.0,58.0,236.5832504579953,Landscan
Ondo,17104,0.0,46667.0,3853776.0,3.0,1.0,37.0,225.31431244153416,Landscan
Osun,10884,0.0,59291.0,4599081.0,13.0,1.0,126.0,422.5542998897464,Landscan
Oyo,32478,0.0,75414.0,7035427.0,3.0,2.0,49.0,216.62131288872467,Landscan
Plateau,32675,0.0,13066.0,3964494.0,11.0,1.0,76.0,121.33110941086457,Landscan
Rivers,9862,0.0,127408.0,6112866.0,3.0,1.0,103.75,619.8403974852971,Landscan
Sokoto,37659,0.0,26898.0,5058189.0,2.0,1.0,4.0,134.31554210148968,Landscan
Taraba,71387,0.0,8962.0,2933202.0,1.0,0.0,15.0,41.088741647638926,Landscan
Yobe,54999,0.0,44833.0,3649051.0,1.0,0.0,11.0,66.34758813796614,Landscan
Zamfara,41101,0.0,19978.0,3900569.0,2.0,1.0,33.0,94.90204617892509,Landscan
