,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,84767.0,2356770.0,66.0,37.0,133.75,426.7964505613908,Landscan
Adamawa,39846,0.0,41576.0,2753854.0,32.0,18.0,51.0,69.11243286653617,Landscan
Akwa Ibom,7766,0.0,25910.0,3426629.0,90.0,41.0,198.75,441.23474117950036,Landscan
Anambra,5538,0.0,86685.0,3804207.0,115.0,48.0,355.0,686.9279523293608,Landscan
Bauchi,58374,0.0,18384.0,4279259.0,32.0,23.0,48.0,73.30761983074656,Landscan
Bayelsa,11535,0.0,82544.0,1748637.0,20.0,4.0,64.0,151.59401820546165,Landscan
Benue,37109,0.0,27986.0,3880833.0,47.0,35.0,82.0,104.57929343285996,Landscan
Borno,84903,0.0,59277.0,3594138.0,16.0,8.0,32.0,42.332285078265784,Landscan
Cross River,24682,0.0,44360.0,2909171.0,28.0,7.0,62.0,117.8660967506685,Landscan
Delta,19064,0.0,55628.0,3821060.0,32.0,9.0,89.0,200.43327738145194,Landscan
Ebonyi,7291,0.0,26301.0,2661931.0,128.0,55.0,223.0,365.09820326429843,Landscan
Edo,23287,0.0,27256.0,3158304.0,28.0,9.0,56.0,135.62519860866578,Landscan
Ekiti,6155,0.0,87199.0,2078984.0,96.0,44.0,244.0,337.7715678310317,Landscan
Enugu,9059,2.0,34509.0,2986437.0,78.0,44.0,166.0,329.66519483386685,Landscan
Federal Capital Territory,8667,0.0,6502.0,543696.0,19.0,11.0,30.0,62.73174108688127,Landscan
Gombe,21618,0.0,22549.0,2173754.0,44.0,34.0,73.0,100.55296512165788,Landscan
Imo,6218,0.0,42273.0,3534556.0,112.0,44.0,260.0,568.4393695722097,Landscan
Jigawa,28730,0.0,27485.0,4331737.0,49.0,37.0,99.0,150.77399930386355,Landscan
Kaduna,52920,0.0,31575.0,5713464.0,32.0,18.0,48.0,107.9641723356009,Landscan
Kano,23980,0.0,83601.0,8224666.0,100.0,56.0,200.0,342.98023352793996,Landscan
Katsina,28642,0.0,34520.0,5350706.0,64.0,45.0,123.0,186.81328119544725,Landscan
Kebbi,43383,0.0,21484.0,2999135.0,31.0,17.0,46.0,69.13157227485421,Landscan
Kogi,34282,0.0,43083.0,3175953.0,33.0,13.0,49.0,92.64199871652762,Landscan
Kwara,42270,0.0,51836.0,2334306.0,10.0,5.0,26.0,55.22370475514549,Landscan
Lagos,4055,0.0,95510.0,7789639.0,57.0,11.5,293.0,1920.9960542540075,Landscan
Nassarawa,30915,0.0,6589.0,1788398.0,27.0,18.0,43.0,57.84887595018599,Landscan
Niger,83705,0.0,20486.0,3469620.0,18.0,10.0,33.0,41.45057045576728,Landscan
Ogun,19102,0.0,80364.0,3688349.0,36.0,15.0,118.0,193.08705894670715,Landscan
Ondo,17102,0.0,56537.0,2975919.0,47.0,17.0,129.0,174.00999883054612,Landscan
Osun,10884,0.0,94394.0,3328667.0,53.0,21.0,157.0,305.83122013965453,Landscan
Oyo,32478,0.0,91702.0,4992418.0,29.0,20.0,50.0,153.71691606626024,Landscan
Plateau,32675,0.0,27979.0,3115252.0,39.0,21.0,60.0,95.34053557765876,Landscan
Rivers,9857,0.0,98570.0,4304777.0,42.0,11.0,143.0,436.7228365628487,Landscan
Sokoto,37659,0.0,25604.0,3245675.0,36.0,26.0,56.0,86.18590509572745,Landscan
Taraba,71387,0.0,8747.0,2427117.0,19.0,9.0,31.0,33.99942566573746,Landscan
Yobe,54999,0.0,12734.0,2058107.0,20.0,10.0,31.0,37.4208076510482,Landscan
Zamfara,41101,0.0,11537.0,3120158.0,33.0,28.0,59.0,75.9144059755237,Landscan
