,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,6.0,87529.0,2880053.0,90.0,50.0,209.0,521.5597609561753,Landscan
Adamawa,39846,0.0,42586.0,2795570.0,39.0,21.0,60.0,70.15936354966621,Landscan
Akwa Ibom,7766,0.0,29174.0,3485732.0,106.0,55.0,208.0,448.84522276590263,Landscan
Anambra,5538,0.0,72166.0,3843077.0,124.0,69.0,397.75,693.9467316720837,Landscan
Bauchi,58373,0.0,19586.0,4343470.0,33.0,21.0,58.0,74.40888767066966,Landscan
Bayelsa,11537,0.0,48195.0,1798543.0,42.0,14.0,105.0,155.8934731732686,Landscan
Benue,37109,0.0,23698.0,3933683.0,55.0,41.0,92.0,106.0034762456547,Landscan
Borno,84903,0.0,49061.0,3663634.0,17.0,11.0,32.0,43.150819170111774,Landscan
Cross River,24683,0.0,45026.0,2903931.0,37.0,23.0,65.0,117.64902969655228,Landscan
Delta,19061,0.0,57112.0,3857307.0,53.0,24.0,134.0,202.36645506531661,Landscan
Ebonyi,7291,0.0,17647.0,2093331.0,97.0,70.0,186.0,287.1116444932108,Landscan
Edo,23287,0.0,34628.0,3228244.0,38.0,22.0,77.0,138.62859105938935,Landscan
Ekiti,6155,22.0,86175.0,2073695.0,158.0,93.0,321.0,336.9122664500406,Landscan
Enugu,9059,8.0,31224.0,3172223.0,88.0,59.0,174.0,350.17363947455567,Landscan
Federal Capital Territory,8667,0.0,12780.0,564810.0,22.0,19.0,40.0,65.16787815853236,Landscan
Gombe,21614,0.0,22973.0,2191172.0,50.0,31.0,83.0,101.3774405477931,Landscan
Imo,6218,7.0,45054.0,3571057.0,131.0,56.0,277.0,574.309585075587,Landscan
Jigawa,28730,0.0,27410.0,4391376.0,62.0,37.0,108.0,152.84984336930037,Landscan
Kaduna,52917,0.0,51625.0,5798141.0,33.0,19.0,57.0,109.57047829619971,Landscan
Kano,23965,0.0,80575.0,8334605.0,110.0,61.0,207.0,347.78239098685583,Landscan
Katsina,28642,0.0,38078.0,5414788.0,83.0,55.0,130.0,189.0506249563578,Landscan
Kebbi,43381,0.0,24175.0,3024524.0,37.0,23.0,60.0,69.72001567506513,Landscan
Kogi,34281,0.0,50475.0,3227652.0,41.0,23.0,67.0,94.1527960094513,Landscan
Kwara,42270,0.0,26755.0,2075149.0,13.0,6.0,26.0,49.09271350839839,Landscan
Lagos,4053,0.0,85997.0,7710681.0,103.0,23.0,492.0,1902.462620281273,Landscan
Nassarawa,30915,0.0,6403.0,1846777.0,29.0,18.0,49.0,59.73724729095908,Landscan
Niger,83705,0.0,18967.0,3511318.0,20.0,11.0,32.0,41.948724687892,Landscan
Ogun,19102,0.0,69005.0,3943463.0,66.0,33.0,137.0,206.44241440686838,Landscan
Ondo,17102,0.0,48064.0,3060883.0,81.0,40.0,156.0,178.9780727400304,Landscan
Osun,10884,6.0,80901.0,3560476.0,101.0,51.0,203.0,327.12936420433664,Landscan
Oyo,32478,4.0,81411.0,5152654.0,51.0,34.0,80.0,158.6505942484143,Landscan
Plateau,32675,0.0,20681.0,3103862.0,39.0,26.0,61.0,94.99195103289978,Landscan
Rivers,9852,0.0,83652.0,4395608.0,69.0,30.0,214.25,446.1640276086074,Landscan
Sokoto,37659,0.0,27806.0,3443126.0,41.0,27.0,67.0,91.42903422820574,Landscan
Taraba,71387,0.0,5582.0,2462744.0,22.0,12.0,33.0,34.498494123579924,Landscan
Yobe,54999,0.0,13919.0,2081044.0,18.0,12.0,30.0,37.83785159730177,Landscan
Zamfara,41101,0.0,13727.0,3015053.0,36.0,27.0,63.0,73.35716892533028,Landscan
