,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,4.0,92483.0,2712612.0,88.0,43.0,209.0,491.2372328866353,Landscan
Adamawa,39846,0.0,32477.0,2638918.0,32.0,26.0,52.0,66.22792752095567,Landscan
Akwa Ibom,7773,0.0,26240.0,3281241.0,87.0,45.0,195.0,422.1331532226939,Landscan
Anambra,5538,0.0,63090.0,3627292.0,115.0,84.0,408.75,654.9823040808956,Landscan
Bauchi,58374,0.0,12672.0,4110135.0,32.0,22.0,51.0,70.41037105560694,Landscan
Bayelsa,11559,0.0,57715.0,1705491.0,28.0,7.0,88.0,147.5465870750065,Landscan
Benue,37109,0.0,19355.0,3718541.0,52.0,39.0,89.0,100.20590692284891,Landscan
Borno,84903,0.0,35899.0,3454359.0,18.0,12.0,30.0,40.685947493021445,Landscan
Cross River,24710,0.0,53535.0,2743482.0,34.0,17.0,62.0,111.02719546742209,Landscan
Delta,19074,0.0,57089.0,3601758.0,35.0,15.0,103.0,188.830764391318,Landscan
Ebonyi,7291,0.0,20740.0,1998621.0,98.0,56.0,180.0,274.12165683719655,Landscan
Edo,23288,0.0,20441.0,3084892.0,31.0,15.0,65.0,132.4670216420474,Landscan
Ekiti,6155,14.0,61057.0,1983755.0,152.0,66.0,290.5,322.2997562956946,Landscan
Enugu,9061,10.0,27635.0,2996299.0,89.0,49.0,174.0,330.68082993047125,Landscan
Federal Capital Territory,8667,0.0,27992.0,546833.0,20.0,16.0,35.0,63.0936887042806,Landscan
Gombe,21618,0.0,13501.0,2080237.0,48.0,32.0,76.0,96.22707928578036,Landscan
Imo,6219,2.0,60982.0,3374265.0,113.0,37.0,266.0,542.5735648818138,Landscan
Jigawa,28730,0.0,32637.0,4159063.0,66.0,41.0,93.0,144.76376609815523,Landscan
Kaduna,52920,0.0,56583.0,5489962.0,33.0,16.0,50.0,103.74077853363568,Landscan
Kano,23980,0.0,82273.0,7865757.0,103.0,69.0,191.0,328.01321934945787,Landscan
Katsina,28642,0.0,30563.0,5107583.0,76.0,55.0,122.0,178.32494239229104,Landscan
Kebbi,43383,0.0,22533.0,2865884.0,40.0,22.0,55.0,66.06006961252103,Landscan
Kogi,34284,0.0,46020.0,3036977.0,42.0,17.0,63.0,88.58292497958232,Landscan
Kwara,42271,0.0,20695.0,1939360.0,13.0,7.0,31.0,45.879207967637385,Landscan
Lagos,4056,0.0,91984.0,7316761.0,104.0,33.0,453.0,1803.935157790927,Landscan
Nassarawa,30915,0.0,6110.0,1730174.0,29.0,24.0,46.0,55.965518356784735,Landscan
Niger,83705,0.0,15675.0,3315333.0,18.0,13.0,33.0,39.607347231348186,Landscan
Ogun,19105,0.0,75680.0,3704206.0,56.0,24.0,137.0,193.88673122219313,Landscan
Ondo,17102,0.0,32126.0,2891043.0,73.0,33.25,155.0,169.04707051806807,Landscan
Osun,10884,5.0,94684.0,3394066.0,103.0,54.0,194.0,311.8399485483278,Landscan
Oyo,32478,3.0,100143.0,4811816.0,46.0,24.0,84.0,148.15616725167806,Landscan
Plateau,32675,0.0,18009.0,2930106.0,41.0,23.0,60.0,89.67424636572304,Landscan
Rivers,9876,0.0,101102.0,4164252.0,38.0,13.0,177.25,421.65370595382745,Landscan
Sokoto,37659,0.0,20280.0,3235521.0,41.0,30.0,64.0,85.91627499402533,Landscan
Taraba,71387,0.0,5804.0,2329163.0,21.0,11.0,29.0,32.627271071763765,Landscan
Yobe,54999,0.0,8865.0,1953765.0,18.0,11.0,27.0,35.523645884470625,Landscan
Zamfara,41101,0.0,9492.0,2862248.0,40.0,27.0,53.0,69.63937617089609,Landscan
