,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,3.0,93814.0,2788543.0,90.0,42.0,211.0,504.98786671495833,Landscan
Adamawa,39846,0.0,37648.0,2708676.0,33.0,24.0,55.0,67.97861767806053,Landscan
Akwa Ibom,7773,0.0,31248.0,3371193.0,89.0,45.0,199.0,433.70551910459284,Landscan
Anambra,5538,0.0,79453.0,3714447.0,118.0,85.0,409.0,670.7199349945829,Landscan
Bauchi,58373,0.0,15756.0,4222772.0,32.0,23.0,53.0,72.341185136964,Landscan
Bayelsa,11559,0.0,59386.0,1747510.0,28.0,7.0,89.0,151.1817631282983,Landscan
Benue,37109,0.0,18432.0,3817602.0,53.0,39.0,89.0,102.875367161605,Landscan
Borno,84903,0.0,37947.0,3543415.0,17.0,12.0,32.0,41.7348621367914,Landscan
Cross River,24710,0.0,55535.0,2816714.0,35.0,17.0,65.0,113.99085390530149,Landscan
Delta,19074,0.0,58748.0,3708558.0,36.0,15.0,104.0,194.43000943692985,Landscan
Ebonyi,7291,0.0,16454.0,2049189.0,101.0,55.0,185.5,281.0573309559731,Landscan
Edo,23288,0.0,18058.0,3165171.0,32.0,14.0,66.0,135.91424768120922,Landscan
Ekiti,6155,14.0,70965.0,2040565.0,155.0,64.0,308.0,331.52965069049554,Landscan
Enugu,9059,8.0,28110.0,3076418.0,90.0,50.0,178.0,339.5979688707363,Landscan
Federal Capital Territory,8667,0.0,28759.0,554122.0,21.0,17.0,35.0,63.93469481943002,Landscan
Gombe,21614,0.0,16273.0,2138589.0,50.0,33.0,72.0,98.94461922827797,Landscan
Imo,6219,0.0,62212.0,3460925.0,115.0,37.0,273.0,556.5082810741277,Landscan
Jigawa,28730,0.0,23937.0,4273620.0,63.0,42.0,98.0,148.75113122171945,Landscan
Kaduna,52917,0.0,80963.0,5636433.0,34.0,17.0,51.0,106.51459833323885,Landscan
Kano,23965,0.0,138260.0,8074215.0,107.0,70.0,202.0,336.91696223659505,Landscan
Katsina,28642,0.0,31849.0,5255354.0,78.0,55.0,130.0,183.48418406535856,Landscan
Kebbi,43381,0.0,23761.0,2945613.0,39.0,22.0,57.0,67.90099352250985,Landscan
Kogi,34283,0.0,47675.0,3118513.0,45.0,17.0,64.0,90.9638304699122,Landscan
Kwara,42270,0.0,20908.0,1988613.0,13.0,6.0,30.0,47.04549325762952,Landscan
Lagos,4056,0.0,118859.0,7546404.0,95.0,26.0,427.0,1860.5532544378698,Landscan
Nassarawa,30915,0.0,6342.0,1778156.0,29.0,25.0,47.0,57.51758046255863,Landscan
Niger,83705,0.0,18034.0,3411091.0,18.0,13.0,33.0,40.75134101905501,Landscan
Ogun,19103,0.0,80989.0,3771300.0,56.0,23.0,133.0,197.41925352038947,Landscan
Ondo,17102,0.0,36660.0,2969420.0,74.0,29.0,155.0,173.62998479709975,Landscan
Osun,10884,3.0,115756.0,3484539.0,97.0,46.0,198.0,320.1524255788313,Landscan
Oyo,32478,3.0,108188.0,4937053.0,45.0,24.0,85.0,152.0122236590923,Landscan
Plateau,32675,0.0,21472.0,3007617.0,43.0,23.0,62.0,92.04642693190513,Landscan
Rivers,9875,0.0,89191.0,4274025.0,40.0,13.0,183.0,432.8126582278481,Landscan
Sokoto,37659,0.0,21771.0,3321392.0,41.0,29.0,63.0,88.1965001726015,Landscan
Taraba,71387,0.0,6061.0,2391171.0,22.0,11.0,29.0,33.49588860716937,Landscan
Yobe,54999,0.0,9849.0,2012866.0,19.0,11.0,27.0,36.59822905871016,Landscan
Zamfara,41101,0.0,11016.0,2937050.0,38.0,28.0,54.0,71.45933188973504,Landscan
