,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,6.0,98996.0,2954674.0,92.0,51.0,207.0,535.0731618978631,Landscan
Adamawa,39846,0.0,43646.0,2867892.0,40.0,22.0,62.0,71.97440144556543,Landscan
Akwa Ibom,7766,0.0,29964.0,3576082.0,109.0,56.0,213.75,460.4792686067474,Landscan
Anambra,5538,0.0,86478.0,3947398.0,127.0,71.0,403.75,712.7840375586854,Landscan
Bauchi,58373,0.0,20183.0,4455108.0,33.0,21.0,60.0,76.32138146060679,Landscan
Bayelsa,11534,0.0,60396.0,1827160.0,51.0,18.0,118.0,158.41512051326512,Landscan
Benue,37109,0.0,27641.0,4035695.0,56.0,42.0,94.0,108.75245897221698,Landscan
Borno,84903,0.0,59510.0,3757409.0,17.0,11.0,33.0,44.2553148887554,Landscan
Cross River,24682,0.0,43226.0,2979587.0,38.0,24.0,67.0,120.71902601085812,Landscan
Delta,19063,0.0,58692.0,3967399.0,57.0,29.0,136.0,208.120390284845,Landscan
Ebonyi,7291,0.0,18181.0,2147434.0,99.0,72.0,191.0,294.5321629406117,Landscan
Edo,23287,0.0,51608.0,3305801.0,39.0,22.0,74.0,141.95907587924594,Landscan
Ekiti,6155,19.0,90204.0,2131781.0,147.0,84.0,283.0,346.34947197400487,Landscan
Enugu,9059,8.0,36393.0,3254242.0,89.0,59.0,177.0,359.2275085550281,Landscan
Federal Capital Territory,8667,0.0,13085.0,579322.0,22.0,19.0,41.0,66.84227529710395,Landscan
Gombe,21614,0.0,23518.0,2248138.0,52.0,32.0,85.0,104.01304709910244,Landscan
Imo,6218,8.0,46218.0,3663553.0,135.0,57.0,284.0,589.1851077516886,Landscan
Jigawa,28730,0.0,28217.0,4505110.0,64.0,37.0,111.0,156.80856247824573,Landscan
Kaduna,52917,0.0,51228.0,5948502.0,33.0,20.0,58.0,112.41192811383866,Landscan
Kano,23965,0.0,85353.0,8550493.0,113.0,63.0,213.0,356.7908616732735,Landscan
Katsina,28642,0.0,38995.0,5555139.0,86.0,56.0,134.0,193.95080650792542,Landscan
Kebbi,43381,0.0,24733.0,3102685.0,38.0,23.0,61.0,71.52174915285494,Landscan
Kogi,34281,0.0,51701.0,3308901.0,42.0,23.0,69.0,96.52288439660454,Landscan
Kwara,42270,0.0,40053.0,2120999.0,13.0,7.0,26.0,50.17740714454696,Landscan
Lagos,4053,0.0,93608.0,7955575.0,105.0,23.0,468.0,1962.885516901061,Landscan
Nassarawa,30915,0.0,6648.0,1894841.0,30.0,18.0,51.0,61.29196183082646,Landscan
Niger,83705,0.0,22520.0,3602865.0,21.0,12.0,33.0,43.042410847619614,Landscan
Ogun,19102,0.0,87476.0,3999115.0,64.0,34.0,133.0,209.35582661501414,Landscan
Ondo,17102,0.0,65270.0,3151771.0,78.0,38.0,140.0,184.292538884341,Landscan
Osun,10884,4.0,83756.0,3658089.0,95.0,52.0,171.25,336.0978500551268,Landscan
Oyo,32478,4.0,87583.0,5280666.0,46.0,35.0,80.0,162.5920931091816,Landscan
Plateau,32675,0.0,25805.0,3185182.0,40.0,26.0,63.0,97.4807039020658,Landscan
Rivers,9854,0.0,90648.0,4511413.0,73.0,34.0,212.0,457.82555307489343,Landscan
Sokoto,37659,0.0,31646.0,3531911.0,42.0,27.0,68.0,93.7866379882631,Landscan
Taraba,71387,0.0,5715.0,2525908.0,23.0,13.0,33.0,35.38330508355863,Landscan
Yobe,54999,0.0,14378.0,2135687.0,18.0,12.0,30.0,38.83137875234095,Landscan
Zamfara,41101,0.0,14080.0,3093576.0,37.0,28.0,65.0,75.26765772122333,Landscan
