,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,31958.0,3062805.0,100.0,59.0,205.25,554.6550162984425,Landscan
Adamawa,39846,0.0,24475.0,3334190.0,33.0,18.0,60.0,83.67690608844049,Landscan
Akwa Ibom,7766,0.0,30012.0,4203989.0,111.0,51.0,238.0,541.3326036569663,Landscan
Anambra,5538,0.0,54486.0,4512714.0,169.0,79.0,493.0,814.863488624052,Landscan
Bauchi,58374,0.0,17666.0,5076976.0,39.0,28.0,60.0,86.9732415116319,Landscan
Bayelsa,11535,0.0,48563.0,1785974.0,13.0,1.0,61.0,154.83086259211098,Landscan
Benue,37109,0.0,25312.0,4593192.0,53.0,39.0,96.0,123.77568783852973,Landscan
Borno,84903,0.0,38546.0,4379720.0,22.0,12.0,43.0,51.584985218425736,Landscan
Cross River,24685,0.0,33989.0,3081924.0,29.0,1.0,68.0,124.85007089325501,Landscan
Delta,19064,0.0,45392.0,4393171.0,35.0,9.0,99.0,230.44329626521193,Landscan
Ebonyi,7291,0.0,22431.0,2369656.0,121.0,61.0,223.0,325.01110958716225,Landscan
Edo,23288,0.0,49403.0,3505721.0,31.0,9.0,67.0,150.53765888010992,Landscan
Ekiti,6155,0.0,42786.0,2568502.0,112.0,61.0,281.0,417.3033306255077,Landscan
Enugu,9061,0.0,44052.0,3537673.0,106.0,53.0,216.0,390.4285398962587,Landscan
Federal Capital Territory,8667,0.0,24782.0,1492738.0,34.0,24.0,57.0,172.23237567785856,Landscan
Gombe,21618,0.0,44253.0,2545404.0,49.0,35.0,81.0,117.74465723008603,Landscan
Imo,6219,0.0,35423.0,4303151.0,133.0,50.0,315.0,691.9361633703168,Landscan
Jigawa,28730,0.0,51427.0,4731959.0,62.0,42.0,112.0,164.70445527323355,Landscan
Kaduna,52920,0.0,37103.0,6602335.0,39.0,24.0,61.0,124.76067649281936,Landscan
Kano,23980,0.0,80488.0,10198483.0,135.0,77.0,250.0,425.291201000834,Landscan
Katsina,28642,0.0,34395.0,6296046.0,84.0,52.0,148.0,219.81865791495008,Landscan
Kebbi,43383,0.0,23610.0,3539727.0,36.0,21.0,58.0,81.5924901459097,Landscan
Kogi,34284,0.0,44511.0,3551566.0,35.0,18.0,64.0,103.5925212927313,Landscan
Kwara,42270,0.0,47819.0,2586243.0,11.0,8.0,27.0,61.18388928317956,Landscan
Lagos,4055,0.0,76852.0,9553644.0,96.0,17.0,518.0,2356.0157829839704,Landscan
Nassarawa,30915,0.0,25790.0,2063763.0,32.0,20.0,53.0,66.75604075691412,Landscan
Niger,83705,0.0,27926.0,4283084.0,20.0,10.0,35.0,51.16879517352607,Landscan
Ogun,19105,0.0,42424.0,4114262.0,41.0,16.0,114.0,215.3500130855797,Landscan
Ondo,17102,0.0,70958.0,3611799.0,55.0,19.0,149.0,211.19161501578762,Landscan
Osun,10884,0.0,75021.0,3860119.0,56.0,19.0,161.0,354.65995957368614,Landscan
Oyo,32478,0.0,53340.0,6068750.0,39.0,24.0,70.0,186.85725722027217,Landscan
Plateau,32675,0.0,36389.0,3457771.0,43.0,20.0,72.0,105.82313695485846,Landscan
Rivers,9858,0.0,75312.0,5306158.0,63.0,19.0,215.0,538.2590789206736,Landscan
Sokoto,37659,0.0,38473.0,4002081.0,42.0,28.0,71.0,106.27156854935075,Landscan
Taraba,71387,0.0,26465.0,2531237.0,18.0,10.0,33.0,35.45795452953619,Landscan
Yobe,54999,0.0,15288.0,2553925.0,22.0,12.0,36.0,46.435844288077966,Landscan
Zamfara,41101,0.0,19827.0,3536523.0,41.0,27.0,61.0,86.04469477628281,Landscan
