,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,34849.0,3339659.0,109.0,64.0,223.5,604.7915610286128,Landscan
Adamawa,39846,0.0,26673.0,3631613.0,36.0,19.0,66.0,91.14121869196406,Landscan
Akwa Ibom,7766,0.0,32445.0,4544688.0,120.0,55.0,257.75,585.2031934071595,Landscan
Anambra,5538,0.0,59116.0,4896188.0,183.0,86.0,533.0,884.1076200794511,Landscan
Bauchi,58374,0.0,19088.0,5486398.0,42.0,30.0,65.0,93.98701476684825,Landscan
Bayelsa,11535,0.0,52778.0,1941060.0,15.0,1.0,67.0,168.27568270481143,Landscan
Benue,37109,0.0,27716.0,5028726.0,58.0,42.0,106.0,135.5123015979951,Landscan
Borno,84903,0.0,42064.0,4780637.0,24.0,13.0,47.0,56.30704450961686,Landscan
Cross River,24685,0.0,36964.0,3350003.0,31.0,1.0,74.0,135.71006684221186,Landscan
Delta,19064,0.0,49467.0,4787483.0,39.0,9.0,107.0,251.12688837599666,Landscan
Ebonyi,7291,0.0,24401.0,2577685.0,131.0,66.0,242.0,353.54340968317103,Landscan
Edo,23288,0.0,53907.0,3825366.0,34.0,10.0,73.0,164.26339745791824,Landscan
Ekiti,6155,0.0,46759.0,2806790.0,122.0,67.0,308.0,456.0178716490658,Landscan
Enugu,9061,0.0,47998.0,3854551.0,116.0,58.0,235.0,425.4001765809513,Landscan
Federal Capital Territory,8667,0.0,26937.0,1622398.0,37.0,26.0,62.0,187.19256951655706,Landscan
Gombe,21618,0.0,48289.0,2777521.0,54.0,38.0,88.0,128.48186696271625,Landscan
Imo,6219,0.0,38402.0,4664852.0,145.0,54.0,341.0,750.096800128638,Landscan
Jigawa,28730,0.0,56013.0,5153506.0,68.0,46.0,122.0,179.37716672467803,Landscan
Kaduna,52920,0.0,40608.0,7225762.0,43.0,26.0,66.0,136.5412320483749,Landscan
Kano,23980,0.0,87579.0,11096960.0,147.0,84.0,272.0,462.7589658048374,Landscan
Katsina,28642,0.0,37412.0,6847852.0,92.0,56.0,161.0,239.08428182389497,Landscan
Kebbi,43383,0.0,25784.0,3863797.0,40.0,23.0,63.0,89.062466864901,Landscan
Kogi,34284,0.0,48869.0,3898887.0,39.0,20.0,70.0,113.72322366118306,Landscan
Kwara,42270,0.0,51809.0,2801862.0,12.0,8.0,29.0,66.28488289567069,Landscan
Lagos,4055,0.0,84394.0,10490149.0,106.0,18.5,569.0,2586.966461159063,Landscan
Nassarawa,30915,0.0,28032.0,2248588.0,35.0,21.0,58.0,72.73453016335112,Landscan
Niger,83705,0.0,30364.0,4656744.0,22.0,11.0,38.0,55.632805686637596,Landscan
Ogun,19105,0.0,46357.0,4494506.0,45.0,17.0,124.0,235.25286574195238,Landscan
Ondo,17102,0.0,77511.0,3945248.0,60.0,21.0,162.0,230.68927610805753,Landscan
Osun,10884,0.0,81321.0,4185435.0,61.0,20.0,174.0,384.54933847850054,Landscan
Oyo,32478,0.0,57822.0,6578343.0,42.0,26.0,76.0,202.54766303343803,Landscan
Plateau,32675,0.0,39867.0,3788165.0,47.0,22.0,79.0,115.93465952563122,Landscan
Rivers,9858,0.0,82002.0,5777624.0,68.0,20.0,234.0,586.084804219923,Landscan
Sokoto,37659,0.0,41847.0,4352843.0,46.0,31.0,77.0,115.58572983881675,Landscan
Taraba,71387,0.0,28668.0,2736152.0,19.0,10.0,36.0,38.32843514925687,Landscan
Yobe,54999,0.0,16602.0,2772642.0,24.0,14.0,39.0,50.41258931980582,Landscan
Zamfara,41101,0.0,21314.0,3863281.0,45.0,29.0,66.0,93.99481764433955,Landscan
