,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,36053.0,3611187.0,85.0,5.0,651.0,653.963600144875,Landscan
Adamawa,39846,0.0,19215.0,3693993.0,4.0,2.0,33.0,92.70674597199216,Landscan
Akwa Ibom,7767,0.0,36053.0,5055691.0,190.0,8.0,597.5,650.9194026007467,Landscan
Anambra,5538,0.0,40618.0,5239162.0,82.0,8.0,999.0,946.0386421090647,Landscan
Bauchi,58374,0.0,28595.0,6548277.0,16.0,4.0,79.0,112.17797307020248,Landscan
Bayelsa,11546,0.0,54696.0,2042497.0,6.0,1.0,16.0,176.90083145678156,Landscan
Benue,37109,0.0,20731.0,5532525.0,49.0,6.0,130.0,149.08849605217063,Landscan
Borno,84903,0.0,27484.0,5840109.0,2.0,0.0,6.0,68.78566128405356,Landscan
Cross River,24686,0.0,39174.0,3762112.0,6.0,0.0,15.0,152.39860649761,Landscan
Delta,19077,0.0,31813.0,5226277.0,4.0,1.0,18.0,273.95696388321016,Landscan
Ebonyi,7291,0.0,15736.0,2700875.0,152.0,50.0,363.0,370.4395830475929,Landscan
Edo,23288,0.0,15307.0,4199928.0,3.0,0.0,8.0,180.34730333218826,Landscan
Ekiti,6155,0.0,58891.0,2919875.0,11.0,6.0,87.0,474.3907392363932,Landscan
Enugu,9061,0.0,54279.0,4236609.0,52.0,5.0,400.0,467.56527977044476,Landscan
Federal Capital Territory,8667,0.0,34169.0,3338118.0,7.0,3.0,76.0,385.15264797507785,Landscan
Gombe,21618,0.0,28441.0,3216059.0,6.0,3.0,62.0,148.76764733092793,Landscan
Imo,6219,0.0,18352.0,5134884.0,268.0,4.0,1203.0,825.6767969126869,Landscan
Jigawa,28730,0.0,37312.0,5535997.0,33.0,5.0,125.0,192.6904629307344,Landscan
Kaduna,52920,0.0,29198.0,7720847.0,6.0,0.0,64.0,145.89657974300832,Landscan
Kano,23980,0.0,45645.0,12080878.0,111.0,7.0,320.0,503.78974145120935,Landscan
Katsina,28642,0.0,42514.0,7448021.0,71.0,0.0,183.0,260.03844005306894,Landscan
Kebbi,43383,0.0,27843.0,4674962.0,4.0,2.0,16.0,107.76022866099625,Landscan
Kogi,34284,0.0,68621.0,4270087.0,5.0,2.0,12.0,124.55043168825108,Landscan
Kwara,42270,0.0,31982.0,3178067.0,3.0,0.0,13.0,75.18493021055122,Landscan
Lagos,4068,0.0,94690.0,18537692.0,94.0,2.0,3034.75,4556.95476892822,Landscan
Nassarawa,30915,0.0,16674.0,2681738.0,5.0,2.0,28.0,86.7455280608119,Landscan
Niger,83705,0.0,25220.0,5087095.0,3.0,1.0,22.0,60.7740875694403,Landscan
Ogun,19105,0.0,23923.0,4682129.0,5.0,1.0,59.0,245.07348861554567,Landscan
Ondo,17104,0.0,47976.0,3990612.0,7.0,2.0,38.0,233.3145463049579,Landscan
Osun,10884,0.0,61418.0,4764996.0,14.0,3.0,130.0,437.79823594266816,Landscan
Oyo,32478,0.0,78144.0,7289785.0,9.0,4.0,50.0,224.45301434817415,Landscan
Plateau,32675,0.0,13082.0,4108231.0,12.0,2.0,78.0,125.73009946442234,Landscan
Rivers,9862,0.0,122103.0,6297737.0,8.0,3.0,112.0,638.5861894139119,Landscan
Sokoto,37659,0.0,27868.0,5242539.0,4.0,2.0,10.0,139.21078626623117,Landscan
Taraba,71387,0.0,9085.0,3037332.0,2.0,0.0,15.0,42.54741059296511,Landscan
Yobe,54999,0.0,45762.0,3778182.0,4.0,1.0,12.0,68.69546719031256,Landscan
Zamfara,41101,0.0,20551.0,4042549.0,5.0,3.0,34.0,98.3564633463906,Landscan
