,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,1.0,77818.0,2780123.0,82.0,42.0,175.0,503.4630568634553,Landscan
Adamawa,39846,0.0,40623.0,2688459.0,30.0,17.0,50.0,67.4712392711941,Landscan
Akwa Ibom,7766,0.0,25303.0,3351309.0,88.0,40.0,195.0,431.5360545969611,Landscan
Anambra,5538,0.0,105289.0,3715949.0,112.0,66.0,341.75,670.9911520404478,Landscan
Bauchi,58374,0.0,18001.0,4179144.0,30.0,18.0,47.0,71.5925583307637,Landscan
Bayelsa,11535,0.0,72736.0,1698207.0,28.0,7.0,79.0,147.2221066319896,Landscan
Benue,37109,0.0,27407.0,3791417.0,47.0,35.0,85.0,102.1697431889838,Landscan
Borno,84903,0.0,58062.0,3510400.0,14.0,9.0,27.0,41.346006619318516,Landscan
Cross River,24682,0.0,43174.0,2791010.0,29.0,10.0,59.0,113.07876185074143,Landscan
Delta,19064,0.0,54393.0,3732529.0,30.0,11.0,88.0,195.78939362148552,Landscan
Ebonyi,7291,0.0,16392.0,2021336.0,91.0,46.0,177.0,277.23714168152515,Landscan
Edo,23287,0.0,26476.0,3085859.0,26.0,10.0,56.0,132.51423541031477,Landscan
Ekiti,6155,2.0,84293.0,1997932.0,92.0,43.0,236.0,324.60308692120225,Landscan
Enugu,9059,4.0,35349.0,3053882.0,82.0,46.0,170.0,337.1102770725246,Landscan
Federal Capital Territory,8667,0.0,6423.0,531261.0,18.0,10.0,29.0,61.296988577362406,Landscan
Gombe,21618,0.0,22004.0,2128525.0,44.0,28.0,73.0,98.46077342954945,Landscan
Imo,6218,1.0,41275.0,3451588.0,109.0,43.0,254.0,555.0961724027019,Landscan
Jigawa,28730,0.0,26863.0,4233166.0,49.0,31.0,97.0,147.34305603898363,Landscan
Kaduna,52920,0.0,43881.0,5580651.0,30.0,18.0,47.0,105.45447845804989,Landscan
Kano,23980,0.0,81644.0,8031231.0,99.0,55.0,196.0,334.91371976647207,Landscan
Katsina,28642,0.0,33903.0,5223930.0,72.0,47.0,115.0,182.3870539766776,Landscan
Kebbi,43383,0.0,20899.0,2931438.0,27.0,16.0,46.0,67.57112232902288,Landscan
Kogi,34282,0.0,42140.0,3101397.0,32.0,13.0,48.0,90.4672131147541,Landscan
Kwara,42270,0.0,37756.0,1980396.0,8.0,4.0,16.0,46.85110007097232,Landscan
Lagos,4055,0.0,114832.0,7613537.0,58.0,13.0,287.5,1877.5676942046855,Landscan
Nassarawa,30915,0.0,6890.0,1796383.0,26.0,15.0,43.0,58.10716480672813,Landscan
Niger,83705,0.0,20757.0,3387063.0,16.0,9.0,28.0,40.46428528761723,Landscan
Ogun,19102,0.0,77786.0,3618070.0,34.0,17.0,116.0,189.40791540152864,Landscan
Ondo,17102,0.0,55805.0,2931488.0,47.0,19.0,126.0,171.41199859665537,Landscan
Osun,10884,0.0,60699.0,3496053.0,58.0,22.0,172.0,321.2103087100331,Landscan
Oyo,32478,0.0,97207.0,4927102.0,29.0,18.0,50.0,151.7058316398793,Landscan
Plateau,32675,0.0,26839.0,2992320.0,36.0,21.0,58.0,91.57827084927314,Landscan
Rivers,9854,0.0,109694.0,4225459.0,42.0,14.0,148.0,428.8064745281104,Landscan
Sokoto,37659,0.0,26099.0,3299396.0,34.0,19.0,57.0,87.61241668658222,Landscan
Taraba,71387,0.0,8597.0,2368732.0,19.0,8.0,29.0,33.18155966772662,Landscan
Yobe,54999,0.0,11644.0,1999348.0,15.0,10.0,25.0,36.35244277168676,Landscan
Zamfara,41101,0.0,10805.0,2916008.0,30.0,25.0,55.0,70.9473735432228,Landscan
