,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,42839.0,3487925.0,104.0,37.0,291.0,631.6416153567548,Landscan
Adamawa,39846,0.0,21726.0,3563588.0,16.0,7.0,45.0,89.43402098077598,Landscan
Akwa Ibom,7767,0.0,41311.0,4927611.0,160.0,46.0,411.0,634.429123213596,Landscan
Anambra,5538,0.0,67155.0,5074430.0,143.0,50.0,632.5,916.2928855182377,Landscan
Bauchi,58374,0.0,25581.0,6005862.0,30.0,14.0,68.0,102.8859081097749,Landscan
Bayelsa,11545,0.0,42009.0,2076142.0,13.0,1.0,65.0,179.83040277176266,Landscan
Benue,37109,0.0,25044.0,5383123.0,60.0,33.0,107.0,145.06246463122153,Landscan
Borno,84903,0.0,28757.0,5089779.0,7.0,1.0,21.0,59.94816437581711,Landscan
Cross River,24686,0.0,39149.0,3692162.0,22.0,0.0,74.0,149.56501660860405,Landscan
Delta,19075,0.0,36296.0,5081689.0,18.0,3.0,73.0,266.4057142857143,Landscan
Ebonyi,7291,0.0,16844.0,2620454.0,140.0,68.0,303.0,359.40940886023867,Landscan
Edo,23288,0.0,17273.0,4062791.0,12.0,1.0,35.0,174.45856234970802,Landscan
Ekiti,6155,0.0,57751.0,2836885.0,85.0,32.0,172.0,460.90739236393176,Landscan
Enugu,9061,0.0,59809.0,4169985.0,97.0,39.0,304.0,460.2124489570688,Landscan
Federal Capital Territory,8667,0.0,29715.0,3163350.0,32.0,16.0,94.0,364.98788508134305,Landscan
Gombe,21618,0.0,35421.0,3107140.0,32.0,15.0,70.0,143.72929965769265,Landscan
Imo,6219,0.0,31736.0,5034651.0,190.0,29.0,676.0,809.5595754944525,Landscan
Jigawa,28730,0.0,37882.0,5554812.0,56.0,19.0,121.0,193.34535328924468,Landscan
Kaduna,52920,0.0,30537.0,7667459.0,15.0,0.0,70.0,144.88773620559334,Landscan
Kano,23980,0.0,54738.0,14441495.0,133.0,19.0,381.0,602.2308173477899,Landscan
Katsina,28642,0.0,35890.0,7260877.0,75.0,0.0,164.0,253.5045387891907,Landscan
Kebbi,43383,0.0,25011.0,4182203.0,16.0,8.0,43.0,96.40188553119886,Landscan
Kogi,34284,0.0,66409.0,4196016.0,17.0,9.0,43.0,122.3899194959748,Landscan
Kwara,42270,0.0,33579.0,3115026.0,8.0,1.0,18.0,73.69354151880766,Landscan
Lagos,4064,0.0,92392.0,18237883.0,147.5,15.0,2771.0,4487.668061023622,Landscan
Nassarawa,30915,0.0,24256.0,2630168.0,18.0,9.0,44.0,85.07740579006955,Landscan
Niger,83705,0.0,27863.0,5016551.0,12.0,4.0,30.0,59.9313183202915,Landscan
Ogun,19105,0.0,35152.0,4381645.0,23.0,8.0,91.0,229.34545930384715,Landscan
Ondo,17103,0.0,45750.0,3959594.0,32.0,8.0,101.0,231.51458808396188,Landscan
Osun,10884,0.0,81835.0,4626389.0,35.0,11.0,135.0,425.0633039323778,Landscan
Oyo,32478,0.0,87219.0,7113045.0,33.0,15.0,74.0,219.01117679660078,Landscan
Plateau,32675,0.0,20507.0,4006856.0,35.0,14.0,77.0,122.62757459831676,Landscan
Rivers,9861,0.0,95782.0,6193841.0,43.0,12.0,197.0,628.1148970692627,Landscan
Sokoto,37659,0.0,27244.0,4555407.0,15.0,6.0,39.0,120.96462996893173,Landscan
Taraba,71387,0.0,17789.0,2948973.0,9.0,1.0,26.0,41.309664224578704,Landscan
Yobe,54999,0.0,31828.0,3050511.0,9.0,1.0,24.0,55.46484481536028,Landscan
Zamfara,41101,0.0,23175.0,4165438.0,19.0,9.0,48.0,101.34639059876889,Landscan
