,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,44872.0,3490786.0,124.0,71.0,263.0,632.159724737414,Landscan
Adamawa,39846,0.0,14909.0,3552275.0,28.0,13.0,53.0,89.15010289615017,Landscan
Akwa Ibom,7767,0.0,30437.0,4822367.0,142.0,65.0,317.0,620.8789751512811,Landscan
Anambra,5538,0.0,70556.0,5073924.0,199.0,79.0,620.0,916.201516793066,Landscan
Bauchi,58374,0.0,16355.0,5879446.0,41.0,24.0,66.0,100.72028642888958,Landscan
Bayelsa,11535,0.0,46353.0,2086649.0,17.0,3.0,82.0,180.89718248807975,Landscan
Benue,37109,0.0,26402.0,5348231.0,60.0,46.0,107.0,144.12220755072894,Landscan
Borno,84903,0.0,24969.0,4991416.0,15.0,6.0,31.0,58.78963051953406,Landscan
Cross River,24685,0.0,29282.0,3637478.0,30.0,1.0,74.0,147.35580311930323,Landscan
Delta,19065,0.0,43579.0,4985336.0,39.0,9.0,116.0,261.49152897980593,Landscan
Ebonyi,7291,0.0,15575.0,2621726.0,138.0,61.0,273.0,359.58387052530514,Landscan
Edo,23288,0.0,20785.0,4086133.0,31.0,9.0,66.0,175.46088114050156,Landscan
Ekiti,6155,0.0,45245.0,2788300.0,137.0,70.0,316.0,453.0138099106418,Landscan
Enugu,9061,0.0,64144.0,4167513.0,127.0,63.0,286.0,459.9396313872641,Landscan
Federal Capital Territory,8667,0.0,19874.0,1559299.0,33.0,21.0,59.0,179.91219568478135,Landscan
Gombe,21618,0.0,31747.0,3049986.0,49.0,33.0,90.0,141.08548431862337,Landscan
Imo,6219,0.0,44742.0,4933565.0,172.0,67.0,460.0,793.3051937610549,Landscan
Jigawa,28730,0.0,31046.0,5553577.0,62.0,37.0,122.0,193.30236686390532,Landscan
Kaduna,52920,0.0,34784.0,7662595.0,39.0,23.0,67.0,144.7958238851096,Landscan
Kano,23980,0.0,79331.0,11518110.0,140.0,69.0,284.0,480.32151793160966,Landscan
Katsina,28642,0.0,34634.0,7214401.0,83.0,46.0,161.0,251.88188673975282,Landscan
Kebbi,43383,0.0,25841.0,4119827.0,29.0,14.0,52.0,94.96408731530784,Landscan
Kogi,34284,0.0,55880.0,4189143.0,37.0,19.0,73.0,122.18944697234862,Landscan
Kwara,42270,0.0,29572.0,3108728.0,11.0,8.0,27.0,73.54454696001892,Landscan
Lagos,4058,0.0,94405.0,11301664.0,133.5,20.0,817.5,2785.0330211927057,Landscan
Nassarawa,30915,0.0,21378.0,2380320.0,30.0,18.0,48.0,76.99563318777292,Landscan
Niger,83705,0.0,29136.0,4891351.0,19.0,8.0,33.0,58.43558927184756,Landscan
Ogun,19105,0.0,35622.0,4308469.0,32.0,15.0,119.0,225.5152577859199,Landscan
Ondo,17102,0.0,75186.0,3973975.0,57.0,19.0,158.0,232.36902116711497,Landscan
Osun,10884,0.0,84863.0,4532349.0,64.0,20.0,177.0,416.4230981256891,Landscan
Oyo,32478,0.0,88028.0,6950593.0,38.0,24.0,76.0,214.0092678120574,Landscan
Plateau,32675,0.0,16363.0,4047890.0,46.0,23.0,77.0,123.88339709257842,Landscan
Rivers,9858,0.0,52715.0,5789134.0,75.0,21.0,275.75,587.2523838506796,Landscan
Sokoto,37659,0.0,27402.0,4539238.0,30.0,15.0,57.0,120.53527709179744,Landscan
Taraba,71387,0.0,14952.0,2955585.0,17.0,9.0,33.0,41.40228613052797,Landscan
Yobe,54999,0.0,26112.0,2961660.0,14.0,7.0,28.0,53.849342715322095,Landscan
Zamfara,41101,0.0,19756.0,4108381.0,34.0,19.0,56.0,99.95817620009245,Landscan
