,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,35842.0,3427469.0,123.0,67.0,261.0,620.69340818544,Landscan
Adamawa,39846,0.0,22066.0,3733819.0,27.0,12.0,57.0,93.70624403955227,Landscan
Akwa Ibom,7767,0.0,30883.0,4646485.0,136.0,61.0,310.0,598.234195957255,Landscan
Anambra,5538,0.0,71865.0,5018789.0,202.0,75.0,659.0,906.245756590827,Landscan
Bauchi,58374,0.0,12546.0,5628926.0,39.0,23.0,64.0,96.4286497413232,Landscan
Bayelsa,11535,0.0,49143.0,1990724.0,16.0,2.0,75.0,172.58118768964022,Landscan
Benue,37109,0.0,25207.0,5157868.0,59.0,42.0,105.0,138.99237381767227,Landscan
Borno,84903,0.0,33493.0,4909265.0,18.0,9.0,38.0,57.82204397960025,Landscan
Cross River,24685,0.0,52961.0,3429854.0,28.0,1.0,74.0,138.9448653028155,Landscan
Delta,19065,0.0,45112.0,4924484.0,38.0,9.0,113.0,258.2997115132442,Landscan
Ebonyi,7291,0.0,16404.0,2644973.0,140.0,59.5,279.0,362.7723220408723,Landscan
Edo,23288,0.0,52190.0,3927713.0,28.0,8.0,63.0,168.6582360013741,Landscan
Ekiti,6155,0.0,47021.0,2879514.0,124.0,65.0,321.0,467.83330625507716,Landscan
Enugu,9061,0.0,56662.0,3954614.0,133.0,60.0,278.0,436.4434389140271,Landscan
Federal Capital Territory,8667,0.0,17937.0,1672562.0,33.0,22.0,60.0,192.98050074997116,Landscan
Gombe,21618,0.0,38708.0,2851764.0,46.0,31.0,83.0,131.91618096031084,Landscan
Imo,6219,0.0,45399.0,4789771.0,174.0,56.0,449.0,770.1834700112558,Landscan
Jigawa,28730,0.0,57356.0,5287501.0,68.0,42.0,128.0,184.04110685694397,Landscan
Kaduna,52920,0.0,37847.0,7408553.0,38.0,24.0,64.0,139.99533257747544,Landscan
Kano,23980,0.0,76463.0,11383519.0,150.0,83.0,295.0,474.7088824020017,Landscan
Katsina,28642,0.0,35611.0,7030721.0,90.0,54.0,171.0,245.46892675092522,Landscan
Kebbi,43383,0.0,27867.0,3968351.0,36.0,19.0,59.0,91.47248922388954,Landscan
Kogi,34284,0.0,53466.0,4001439.0,35.0,18.0,69.0,116.71447322366119,Landscan
Kwara,42270,0.0,38563.0,2893227.0,10.0,7.0,23.0,68.44634492547907,Landscan
Lagos,4058,0.0,80301.0,10741854.0,128.0,20.0,802.0,2647.0808279940857,Landscan
Nassarawa,30915,0.0,20602.0,2300108.0,29.0,15.0,48.0,74.40103509623161,Landscan
Niger,83705,0.0,28513.0,4753744.0,19.0,8.0,32.0,56.79163729765247,Landscan
Ogun,19105,0.0,40315.0,4613365.0,38.0,16.0,131.0,241.47422140800836,Landscan
Ondo,17102,0.0,76914.0,4032219.0,57.5,18.0,163.0,235.77470471289908,Landscan
Osun,10884,0.0,77265.0,4312405.0,59.0,16.0,184.0,396.2150863653069,Landscan
Oyo,32478,0.0,73753.0,6750892.0,40.0,25.0,74.0,207.86045938789334,Landscan
Plateau,32675,0.0,31119.0,3885696.0,41.0,20.0,75.0,118.91954093343534,Landscan
Rivers,9858,0.0,54158.0,5903787.0,79.0,24.0,284.0,598.8828362751065,Landscan
Sokoto,37659,0.0,53760.0,4467337.0,43.0,29.0,76.0,118.62601237420006,Landscan
Taraba,71387,0.0,17566.0,2805416.0,16.0,9.0,30.0,39.29869584097945,Landscan
Yobe,54999,0.0,14422.0,2840585.0,17.0,10.0,30.0,51.647939053437334,Landscan
Zamfara,41101,0.0,21371.0,3963670.0,40.0,25.0,64.0,96.43731296075521,Landscan
