,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,86302.0,2412806.0,65.0,38.0,134.0,436.9442231075697,Landscan
Adamawa,39846,0.0,42451.0,2822564.0,33.0,19.0,52.0,70.8368217637906,Landscan
Akwa Ibom,7766,0.0,26145.0,3510125.0,91.0,41.0,197.0,451.9862219933041,Landscan
Anambra,5538,0.0,87811.0,3895023.0,116.0,48.0,362.0,703.3266522210184,Landscan
Bauchi,58374,0.0,18680.0,4376919.0,35.0,22.0,50.0,74.98062493575907,Landscan
Bayelsa,11535,0.0,85595.0,1787660.0,11.0,3.0,54.0,154.9770264412657,Landscan
Benue,37109,0.0,28486.0,3973760.0,48.0,36.0,84.0,107.08345684335336,Landscan
Borno,84903,0.0,60166.0,3665453.0,15.0,8.0,32.0,43.172243619188954,Landscan
Cross River,24683,0.0,45140.0,2983704.0,28.0,3.0,63.0,120.88093019487097,Landscan
Delta,19064,0.0,56748.0,3912125.0,31.0,7.0,86.25,205.21008182962652,Landscan
Ebonyi,7291,0.0,26349.0,2726291.0,128.0,55.0,223.0,373.9255246193938,Landscan
Edo,23288,0.0,27044.0,3233545.0,28.0,8.0,55.25,138.85026623153556,Landscan
Ekiti,6155,0.0,87433.0,2117562.0,97.0,44.0,244.0,344.03931762794474,Landscan
Enugu,9061,1.0,34966.0,3061960.0,79.0,44.0,168.0,337.92738108376557,Landscan
Federal Capital Territory,8667,0.0,6906.0,555974.0,19.0,11.0,31.0,64.14837890850352,Landscan
Gombe,21618,0.0,22616.0,2225668.0,45.0,34.0,75.0,102.9543898603016,Landscan
Imo,6218,0.0,42239.0,3622410.0,111.0,46.0,260.0,582.568349951753,Landscan
Jigawa,28730,0.0,27636.0,4435570.0,50.0,37.0,100.0,154.3880960668291,Landscan
Kaduna,52920,0.0,31666.0,5849251.0,33.0,19.0,49.0,110.53006424792139,Landscan
Kano,23980,0.0,90735.0,8420038.0,104.0,58.0,201.0,351.12752293577984,Landscan
Katsina,28642,0.0,34849.0,5465827.0,65.0,46.0,125.0,190.83258850638921,Landscan
Kebbi,43383,0.0,21682.0,3079080.0,33.0,17.0,47.0,70.97434478943364,Landscan
Kogi,34284,0.0,39877.0,3253141.0,34.0,13.0,49.0,94.88802356784505,Landscan
Kwara,42270,0.0,52745.0,2391872.0,10.0,5.0,27.0,56.58556896143837,Landscan
Lagos,4055,0.0,99077.0,7985552.0,55.0,11.0,291.0,1969.3099876695437,Landscan
Nassarawa,30915,0.0,7126.0,1831752.0,28.0,18.0,43.0,59.25123726346434,Landscan
Niger,83705,0.0,20747.0,3548939.0,18.0,10.0,33.0,42.398172152201184,Landscan
Ogun,19105,0.0,80917.0,3756999.0,35.0,15.0,114.0,196.65003925673906,Landscan
Ondo,17102,0.0,57627.0,3043919.0,48.0,17.0,131.0,177.98614197169923,Landscan
Osun,10884,0.0,95778.0,3410268.0,53.0,20.0,159.0,313.32855567805956,Landscan
Oyo,32478,0.0,93391.0,5111856.0,30.0,20.0,51.0,157.3944208387216,Landscan
Plateau,32675,0.0,28318.0,3190532.0,40.0,22.0,61.0,97.6444376434583,Landscan
Rivers,9858,0.0,100367.0,4403663.0,42.0,10.0,144.0,446.7095759789004,Landscan
Sokoto,37659,0.0,25554.0,3336564.0,36.0,26.0,57.0,88.59937863458934,Landscan
Taraba,71387,0.0,9278.0,2489368.0,20.0,9.0,32.0,34.87144718226008,Landscan
Yobe,54999,0.0,12769.0,2096301.0,20.0,10.0,31.0,38.11525664102984,Landscan
Zamfara,41101,0.0,11534.0,3193847.0,33.0,28.0,60.0,77.70728206126371,Landscan
